imdbId,tmdbId,title,originalTitle,releaseDate,runtime,genres,productionCountries,originalLanguage,spokenLanguages,budget,revenue,imdbRating,imdbVotes,tmdbRating,tmdbVotes,tmdbPopularity,overview,tagline
tt0108174,10442,So I Married an Axe Murderer,So I Married an Axe Murderer,1993-07-30,93,"Comedy,Crime,Romance",US,en,"ru,en",20000000,11585483,6.4,33554,6.2,250,10.228,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right.",The honeymoon was killer.
tt0208988,10461,Get Carter,Get Carter,2000-10-06,102,"Action,Drama,Thriller,Crime",US,en,en,63600000,19412993,5.2,32722,5.1,366,12.288,"Remake of the British classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",The Truth Hurts
tt0091541,10466,The Money Pit,The Money Pit,1986-03-26,91,"Comedy,Romance",US,en,en,10000000,54999651,6.4,52534,6.4,763,9.945,"After being evicted from their Manhattan apartment, a couple buy what looks like the home of their dreams—only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything—including the kitchen sink—disappears into the Money Pit.",For everyone who's ever been deeply in Love or deeply in debt.
tt0191754,10468,28 Days,28 Days,2000-04-06,103,"Comedy,Drama",US,en,en,43000000,0,6.1,45422,6.0,621,11.153,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",The Life of the Party... before she got a life.
tt0195945,10471,Next Friday,Next Friday,2000-01-12,98,Comedy,US,en,en,11000000,59827328,6.2,37032,6.4,372,14.337,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.",The suburbs make the hood look good.
tt0112461,10474,The Basketball Diaries,The Basketball Diaries,1995-04-21,102,"Drama,Crime",US,en,en,2000000,2381087,7.3,102679,7.3,1280,18.943,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,The true story of the death of innocence and the birth of an artist.
tt0410097,10476,Hustle & Flow,Hustle & Flow,2005-07-22,116,"Drama,Music",US,en,en,8000000,23563727,7.3,38692,7.0,229,12.221,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",The music will inspire them. The dream will unite them. This summer get crunk.
tt0132245,10477,Driven,Driven,2001-04-27,116,Action,"AU,CA,US",en,"en,de,es",94000000,54744738,4.6,39406,5.1,485,14.773,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",Get ready for the race of your life.
tt0117918,10478,Tin Cup,Tin Cup,1996-08-16,135,"Comedy,Romance",US,en,en,45000000,53854588,6.4,46321,6.0,351,9.354,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,Golf Pro. Love Amateur.
tt0160797,10479,Rules of Engagement,Rules of Engagement,2000-04-07,128,"Action,Adventure,Drama,History,War",US,en,"ar,en",60000000,71000000,6.4,44514,6.2,457,14.315,"Part war movie, part courtroom thriller, this gripping drama finds a war hero put on trial for a rescue mission gone terribly wrong with only his doubtful friend and fellow marine to represent him.",A hero should never have to stand alone.
tt0171580,10480,Nurse Betty,Nurse Betty,2000-08-30,108,"Comedy,Crime,Thriller","DE,US",en,"es,en",24000000,0,6.1,32945,6.0,270,12.565,"What happens when a person decides that life is merely a state of mind? If you're Betty, a small-town waitress and soap opera fan from Fair Oaks, Kansas, you refuse to believe that you can't be with the love of your life just because he doesn't really exist. After all, life is no excuse for not living. Traumatized by a savage event, Betty enters into a fugue state that allows -- even encourages -- her to keep functioning... in a kind of alternate reality.",She's chasing a dream... they're chasing her.
tt0211181,10481,102 Dalmatians,102 Dalmatians,2000-10-07,100,"Comedy,Family",US,en,en,85000000,183611771,4.9,34953,5.5,991,14.309,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",Meet Two Unlikely Heroes With A Bone To Pick.
tt0452608,10483,Death Race,Death Race,2008-08-22,105,"Action,Thriller,Science Fiction","GB,US,DE",en,en,45000000,76014335,6.4,198307,6.2,2725,25.904,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",Get ready for a killer race.
tt0410377,10488,Nim's Island,Nim's Island,2008-04-03,96,"Adventure,Comedy,Family,Fantasy",US,en,en,37000000,100076342,6.0,33507,5.9,886,12.641,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,Be the hero of your own story.
tt0085382,10489,Cujo,Cujo,1983-08-10,93,"Horror,Thriller",US,en,en,5000000,21200000,6.1,40015,6.0,636,23.322,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town.",Now there's a new name for terror...
tt0157503,10490,Drop Dead Gorgeous,Drop Dead Gorgeous,1999-07-23,98,Comedy,US,en,en,10000000,10571408,6.6,32648,6.5,211,12.371,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps; explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town, the police are pretty relaxed about it all. Despite everything, main rival (but sweet) Amber Atkins won't give up without a fight.",The battle between the good and the bad is bound to get ugly.
tt0097162,10493,Dead Calm,Dead Calm,1989-04-07,96,"Thriller,Horror","AU,US",en,en,10400000,7825000,6.8,36814,6.6,458,18.502,"An Australian couple take a sailing trip in the Pacific to forget about a terrible accident. While on the open sea, in dead calm weather conditions, they come across a ship with one survivor who is not at all what he seems.",High seas. Deep terror. Try to stay calm.
tt0156887,10494,Perfect Blue,パーフェクトブルー,1997-07-25,81,"Animation,Thriller",JP,ja,ja,0,112536,8.0,59079,8.2,1239,19.39,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,The color of illusion is Perfect Blue.
tt0097647,10495,The Karate Kid Part III,The Karate Kid Part III,1989-06-29,112,"Action,Family,Drama,Adventure",US,en,en,0,38956288,5.3,54663,5.9,1004,17.78,"Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.","First it was teacher to student. Then it was father to son. Now, it's man to man."
tt0104779,10497,Bitter Moon,Bitter Moon,1992-09-02,139,"Thriller,Drama,Romance","FR,GB,US",en,"fr,en",5000000,1862805,7.2,35820,7.1,397,15.455,A passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.,A kinky voyage with a full head of steam.
tt0107843,10498,Point of No Return,Point of No Return,1993-03-19,108,"Crime,Thriller,Action",US,en,"en,fr",0,30038362,6.1,25152,6.0,380,10.573,"Hardened criminal Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top-secret US government agent 'Bob' arranges a staged death, so Maggie can be elaborately trained as a phantom killer and subdued into obedience.","The Government gave her a choice. Death. Or life as an assassin. Now, there's no turning back"
tt0138749,10501,The Road to El Dorado,The Road to El Dorado,2000-03-31,89,"Family,Adventure,Animation,Comedy,Action",US,en,en,95000000,76432727,6.9,85079,7.2,2751,45.661,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",They came for the gold. They stayed for the adventure.
tt0107501,10502,The Man Without a Face,The Man Without a Face,1993-08-25,115,Drama,US,en,en,0,24760338,6.7,27841,6.5,351,13.179,"Justin McLeod is a former teacher who lives as a recluse on the edge of town after his face is disfigured from an automobile accident ten years earlier, in which a boy was incinerated—and for which he was convicted of involuntary manslaughter.",A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
tt1045670,10503,Happy-Go-Lucky,Happy-Go-Lucky,2008-04-18,118,"Drama,Comedy",GB,en,en,0,18130888,7.0,37905,6.6,277,11.43,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",
tt0110527,10510,Miracle on 34th Street,Miracle on 34th Street,1994-11-18,114,"Fantasy,Drama,Family",US,en,en,0,46264384,6.6,32925,6.7,695,9.991,"Six-year-old Susan Walker has doubts about childhood's most enduring miracle—Santa Claus. Her mother told her the secret about Santa a long time ago, but, after meeting a special department store Santa who's convinced he's the real thing, Susan is given the most precious gift of all—something to believe in.","If you really believe, anything can happen."
tt0298845,10511,In America,In America,2003-10-31,105,Drama,"IE,US",en,"ga,en,es",0,0,7.7,40474,7.2,216,11.427,"An Irish immigrant family adjusts to life in the United States, a chance to get over the lost son. They have no money and the apartment is in bad condition.",A new home. A new life. Seen through eyes that see everything
tt0052077,10513,Plan 9 from Outer Space,Plan 9 from Outer Space,1959-07-22,79,"Horror,Science Fiction",US,en,en,60000,0,4.0,36182,4.2,344,8.979,"In California, an old man grieves the loss of his wife and on the next day he also dies. However, the space soldier Eros and her mate Tanna use an electric device to resurrect them both and the strong Inspector Clay that was murdered by the couple. Their intention is not to conquest Earth but to stop mankind from developing the powerful bomb “Solobonite” that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers on the sky, a colonel, a police lieutenant, a commercial pilot, his wife and a policeman try to stop the aliens.",Unspeakable horrors from outer space paralyze the living and resurrect the dead!
tt0066769,10514,The Andromeda Strain,The Andromeda Strain,1971-03-12,131,"Science Fiction,Thriller",US,en,en,6500000,12376563,7.2,33791,7.0,412,11.272,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",
tt0092067,10515,Castle in the Sky,天空の城ラピュタ,1986-08-02,125,"Adventure,Fantasy,Animation,Action,Family,Romance",JP,ja,ja,0,0,8.0,151133,8.0,2719,23.217,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"One day, a girl came down from the sky…"
tt0074860,10518,Marathon Man,Marathon Man,1976-10-08,125,"Thriller,Drama",US,en,"de,en,es,fr,it,yi",6500000,21709020,7.4,58477,7.3,641,11.575,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.",One man's dangerous attempts to clear his father's name
tt0901476,10521,Bride Wars,Bride Wars,2009-01-09,89,"Comedy,Romance",US,en,en,30000000,114663461,5.5,100815,6.2,2330,19.127,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,May the best bride win.
tt1175491,10523,W.,W.,2008-10-17,129,"Drama,History",US,en,"es,en",25100000,29506464,6.3,46327,6.1,364,11.581,"The story of the eventful life of George W. Bush—his struggles and triumphs, how he found both his wife and his faith—and the critical days leading up to his decision to invade Iraq.",A life misunderestimated.
