Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
Fakultät Bauingenieurwesen	Prüfung: Baustoffkunde - Baustoffkenngrößen und Eigenschaften von Bau- und Werkstoffen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50623&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Do.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Bauingenieurwesen	Prüfung: Zement, Kalk, Gips	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50608&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Fr.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Bauingenieurwesen	Prüfung: Holzbaustoffe/Wandbaustoffe/Techn. Natursteinkunde	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50610&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Do.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Kunst und Gestaltung	Baustoffe für den Holz- und Mauerwerksbau - Holzbaustoffe	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50895&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	2	deutsch	Mo.	Fakultät Bauingenieurwesen,Thomas Baron
Fakultät Bauingenieurwesen	Baustoffe für den Holz- und Mauerwerksbau - Wandbaustoffe	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50896&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	2	deutsch	Fr.	Fakultät Bauingenieurwesen,Andreas Hecker
Fakultät Bauingenieurwesen	Baustoffe für den Holz- und Mauerwerksbau - Technische Natursteinkunde	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50947&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	2	deutsch	Do.	Fakultät Bauingenieurwesen,Holger Kletti
Fakultät Bauingenieurwesen	Prüfung: Ressourcen und Recycling der Baustoffe: Mechan. Verf.techn./Baustoffrecycling I/Angew. techn. Mineralogie	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50611&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Di.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Bauingenieurwesen	Prüfung: Mörtel und Beton - Betontechnologie/Putz- und Mauermörtel	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50614&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Mo.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Bauingenieurwesen	Prüfung: Bauwerkssanierung-Grdl. BWS/Mauerwerksanierung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50613&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	missing	Fr.	Fakultät Bauingenieurwesen,keine öffentliche Person
Fakultät Bauingenieurwesen	Prüfung: Baustoffkunde - Eigenschaften von Bau- und Werkstoffen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50664&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Prüfung	missing	deutsch	Di.	Fakultät Bauingenieurwesen,keine öffentliche Person :3 S: Fakultät Bauingenieurwesen,Thomas Baron
