Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
Fakultät Architektur und Urbanistik	1. Kernmodul: Darstellen und Gestalten	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=54727&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	8	deutsch	Di.	Fakultät Architektur und Urbanistik,Sabine Zierold :3 S: Fakultät Architektur und Urbanistik,Martin Schmidt :3 S: Fakultät Architektur und Urbanistik,Julia Heinemann :3 S: Fakultät Architektur und Urbanistik,Luise Nerlich :3 S: Fakultät Architektur und Urbanistik,Martin Ahner
Fakultät Medien	1. Kolloquium Buschow	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=56378&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	missing	missing	Mi.	Fakultät Medien,Christopher Buschow
Fakultät Architektur und Urbanistik	1. Planungsprojekt: Stadtausfahrt, Stadteinfahrt, Stadtteil? – Weimar Nord im Wandel	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=54836&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	8	deutsch	Di.	Fakultät Architektur und Urbanistik,Johanna Günzel :3 S: Fakultät Architektur und Urbanistik,Sandra Huning
Fakultät Architektur und Urbanistik	1. Planungsprojekt: Transformation4Weimar	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=54817&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	8	deutsch	Di.	<img alt=BISON-Portal border=0 high=68 src=/QIS/images/bison.jpg width=150/>, N.N. :3 S: Fakultät Architektur und Urbanistik,Felix Lackus
Fakultät Architektur und Urbanistik	212110 1. Kernmodul/ 714515 Darstellen und Gestalten	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=54843&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	2	deutsch	Di.	Fakultät Architektur und Urbanistik,Bernd Rudolf :3 S: Fakultät Architektur und Urbanistik,Monika Mahall
Fakultät Bauingenieurwesen	2. Semesters MBA	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=56293&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	missing	Sa.	missing
Fakultät Kunst und Gestaltung	3D Animation II - Aufbaukurs	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=56014&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	6	deutsch/englisch	Mo.	<img alt=BISON-Portal border=0 high=68 src=/QIS/images/bison.jpg width=150/>, N.N. :3 S: <img alt=BISON-Portal border=0 high=68 src=/QIS/images/bison.jpg width=150/>,keine öffentliche Person
Fakultät Architektur und Urbanistik	3. Kernmodul: Böttchergasse	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=55797&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	8	deutsch/englisch	Di.	Fakultät Architektur und Urbanistik,Hanna Schlösser :3 S: Fakultät Architektur und Urbanistik,Verena von Beckerath :3 S: Fakultät Architektur und Urbanistik,Till Hoffmann
Fakultät Architektur und Urbanistik	3. Kernmodul: Naschmarkt-Generator	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=55782&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	8	deutsch	Di.	Fakultät Architektur und Urbanistik,Julius Tischler :3 S: Fakultät Architektur und Urbanistik,Kassandra Löffler :3 S: Fakultät Architektur und Urbanistik,Stephan Schütz
Fakultät Architektur und Urbanistik	3. Kernmodul: SPURENSUCHE	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=56062&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	8	deutsch	Di.	Fakultät Architektur und Urbanistik,Johannes Kühn :3 S: Fakultät Architektur und Urbanistik,Marlene Külz :3 S: Fakultät Architektur und Urbanistik,Paco Motzer :3 S: Fakultät Architektur und Urbanistik,Konrad Wolf :3 S: Fakultät Architektur und Urbanistik,Sebastian Schröter
